sample,date,laboratory,site,stratigraphy,artefact,part,decoration,LOI,CaO,Fe2O3,TiO2,K2O,SiO2,Al2O3,MgO,MnO,Na2O,P2O5,Zr,Sr,Rb,Zn,Cr,Ni,La,Ba,V,Ce,Y,Th,Pb,Cu
BDX15450,2012-07-11,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15205,pot,rim,0,6.83,16.9200,4.6600,0.9780,1.8000,51.6900,20.8600,2.9800,0.0377,0.0000,0.1400,228,393,100,50,80,41,72,308,111,161,31,12,39,34
BDX15451,2012-07-11,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15205,pot,body,1,9.41,20.3700,4.5200,0.9060,1.9200,49.0700,19.3900,3.0200,0.0387,0.0000,0.1500,199,524,100,60,71,31,44,404,103,117,27,10,27,29
BDX15452,2012-07-11,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15205,plate,rim,1,8.11,16.5300,4.5500,0.9810,1.8300,51.6800,20.9200,2.7200,0.0355,0.0000,0.1400,223,421,102,53,80,32,64,380,116,137,29,15,37,34
BDX15453,2012-07-11,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15205,lid,rim,1,7.17,17.3500,5.1500,0.9860,1.9500,51.1600,20.2700,3.1000,0.0417,0.0000,0.1700,230,476,107,61,81,22,73,426,105,125,30,14,29,19
BDX15454,2012-07-11,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15205,pot,rim,0,5.42,15.1800,4.8200,1.0200,1.8800,52.6800,21.5900,2.7900,0.0358,0.0000,0.1700,237,396,106,57,86,29,80,359,114,159,32,17,46,27
BDX15455,2012-07-11,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15205,pot,rim,0,7.11,17.5800,4.9000,0.9640,1.9500,50.5000,20.3700,3.0600,0.0404,0.0000,0.1600,213,401,107,52,80,43,24,336,106,94,30,14,29,28
BDX15456,2012-07-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15205,storage jar,rim,0,9.77,15.3600,4.2800,1.0220,2.0400,52.9400,19.8100,3.9500,0.0428,0.0000,0.1800,249,486,111,70,78,38,100,420,128,176,83,13,27,27
BDX15457,2012-07-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15205,cup,rim,1,5.81,15.9200,4.9600,1.0170,1.8600,50.6900,21.5600,3.1700,0.0378,0.0000,0.1500,218,390,100,51,84,37,24,359,108,102,32,16,35,23
BDX15458,2012-07-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15205,cup,rim,1,13.99,11.6300,5.2600,0.9950,1.9400,53.6800,20.1600,5.7400,0.0423,0.0000,0.1700,248,752,92,60,73,33,85,559,115,160,33,13,32,33
BDX15459,2012-07-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15205,cup,rim,1,6.80,15.6000,4.8000,1.0300,1.8700,51.6200,21.5700,3.0000,0.0388,0.0000,0.1500,219,439,105,52,82,26,51,433,114,110,30,11,34,27
BDX15460,2012-07-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,kalathos,rim,1,5.11,17.1000,5.3700,1.0020,1.7800,50.4500,20.3500,3.0700,0.0430,0.0000,0.1700,234,429,103,52,80,31,60,448,83,134,31,11,28,22
BDX15461,2012-07-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,storage jar,rim,1,9.86,16.2300,5.1100,0.9720,1.7800,51.5300,19.8100,3.8900,0.0413,0.0000,0.1800,236,560,97,60,80,29,79,587,116,142,32,14,35,25
BDX15462,2012-07-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,kalathos,rim,1,8.04,16.0300,4.9100,1.0010,1.5900,51.3400,20.6600,3.7700,0.0390,0.0000,0.1800,234,535,88,54,78,26,81,489,101,141,31,10,30,30
BDX15463,2012-07-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,kalathos,rim,1,5.92,16.4100,5.0100,0.9980,1.8900,51.2800,20.5800,3.0700,0.0409,0.0000,0.1800,236,485,102,53,75,26,86,586,90,140,32,12,37,26
BDX15464,2012-07-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,pot,rim,1,5.10,16.8400,5.1600,0.9830,1.8900,51.3900,20.0900,3.2700,0.0456,0.0000,0.1900,240,473,105,59,81,26,83,533,90,167,32,12,31,34
BDX15465,2012-07-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,loom weight,body,0,7.40,17.0800,6.2600,0.9360,1.9400,50.1600,19.6300,3.5200,0.0476,0.0000,0.1800,209,448,107,62,84,26,47,480,114,105,30,13,32,24
BDX15466,2012-07-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,pot,rim,1,7.16,15.3500,5.1100,0.9780,1.7400,52.1000,19.8500,3.8400,0.0419,0.0000,0.2100,240,591,93,56,75,32,95,561,93,139,32,10,39,32
BDX15467,2012-07-13,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,plate,rim,1,10.77,14.0600,5.2300,1.0010,1.7400,52.3700,20.2700,4.6700,0.0424,0.0000,0.1700,243,645,91,60,79,28,67,731,111,138,31,9,29,28
BDX15468,2012-07-13,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,rim,1,12.26,17.0000,4.6600,0.9710,1.7600,52.1200,20.2000,2.5400,0.0409,0.0000,0.1600,240,559,94,59,88,30,44,824,116,97,34,11,26,15
BDX15469,2012-07-13,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,rim,1,5.25,13.2100,4.2300,1.1320,1.6500,54.3900,22.2900,2.4300,0.0357,0.0000,0.1200,242,407,96,43,86,28,41,479,109,74,31,14,40,14
BDX15470,2012-07-13,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,rim,1,3.24,15.5500,5.3900,1.0140,2.0000,51.6200,20.6600,3.3200,0.0447,0.0000,0.1800,239,448,111,59,75,30,73,517,94,130,32,14,39,22
BDX15471,2012-07-13,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,lid,rim,1,6.82,17.3800,5.1500,0.9870,1.9100,50.8600,20.1900,3.0700,0.0428,0.0000,0.1800,231,451,107,60,83,38,84,548,97,126,34,14,38,22
BDX15472,2012-07-13,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,rim,1,7.95,16.5600,5.2100,0.9930,1.7100,51.4600,20.3700,3.3900,0.0411,0.0000,0.1600,230,494,95,54,75,30,59,476,86,145,30,11,37,27
BDX15473,2012-07-13,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,kalathos,rim,1,16.71,16.2500,5.1400,0.9940,1.6600,51.8700,19.4500,3.8200,0.0408,0.0000,0.1500,230,766,87,53,62,27,38,889,92,90,26,8,22,20
BDX15474,2012-07-13,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,rim,1,8.91,14.5700,5.1000,1.0170,1.5600,51.7000,20.8700,4.1600,0.0355,0.0000,0.1700,241,618,89,56,81,28,84,725,104,140,33,9,38,25
BDX15640,2014-07-01,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13138,amphorae,neck,0,7.05,16.9400,5.6100,0.9930,1.8300,50.0400,20.1600,3.3900,0.0378,0.0700,0.2000,212,468,98,50,91,26,37,370,102,96,27,12,28,17
