"material","sample","date","laboratory","site","stratigraphy","artefact","part","decoration","LOI","CaO","Fe2O3","TiO2","K2O","SiO2","Al2O3","MgO","MnO","P2O5","Zr","Sr","Rb","Zn","Cr","Ni","La","Ba","V","Ce","Y","Cu","phase"
"47","céramique","BDX15461","2012-07-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15227","storage jar","rim",TRUE,9.86,16.23,5.11,0.972,1.78,51.53,19.81,3.89,0.0413,0.18,0.0236,0.056,0.0097,0.006,0.008,0.0029,0.0079,0.0587,0.0116,0.0142,0.0032,0.0025,2
"48","céramique","BDX15462","2012-07-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15227","kalathos","rim",TRUE,8.04,16.03,4.91,1.001,1.59,51.34,20.66,3.77,0.039,0.18,0.0234,0.0535,0.0088,0.0054,0.0078,0.0026,0.0081,0.0489,0.0101,0.0141,0.0031,0.003,2
"49","céramique","BDX15463","2012-07-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15227","kalathos","rim",TRUE,5.92,16.41,5.01,0.998,1.89,51.28,20.58,3.07,0.0409,0.18,0.0236,0.0485,0.0102,0.0053,0.0075,0.0026,0.0086,0.0586,0.009,0.014,0.0032,0.0026,2
"50","céramique","BDX15464","2012-07-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15227","pot","rim",TRUE,5.1,16.84,5.16,0.983,1.89,51.39,20.09,3.27,0.0456,0.19,0.024,0.0473,0.0105,0.0059,0.0081,0.0026,0.0083,0.0533,0.009,0.0167,0.0032,0.0034,2
"51","céramique","BDX15465","2012-07-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15227","loom weight","body",FALSE,7.4,17.08,6.26,0.936,1.94,50.16,19.63,3.52,0.0476,0.18,0.0209,0.0448,0.0107,0.0062,0.0084,0.0026,0.0047,0.048,0.0114,0.0105,0.003,0.0024,2
"52","céramique","BDX15466","2012-07-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15227","pot","rim",TRUE,7.16,15.35,5.11,0.978,1.74,52.1,19.85,3.84,0.0419,0.21,0.024,0.0591,0.0093,0.0056,0.0075,0.0032,0.0095,0.0561,0.0093,0.0139,0.0032,0.0032,2
"53","céramique","BDX15467","2012-07-13","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15227","plate","rim",TRUE,10.77,14.06,5.23,1.001,1.74,52.37,20.27,4.67,0.0424,0.17,0.0243,0.0645,0.0091,0.006,0.0079,0.0028,0.0067,0.0731,0.0111,0.0138,0.0031,0.0028,2
"54","céramique","BDX15468","2012-07-13","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15227","cup","rim",TRUE,12.26,17,4.66,0.971,1.76,52.12,20.2,2.54,0.0409,0.16,0.024,0.0559,0.0094,0.0059,0.0088,0.003,0.0044,0.0824,0.0116,0.0097,0.0034,0.0015,2
"55","céramique","BDX15469","2012-07-13","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15227","cup","rim",TRUE,5.25,13.21,4.23,1.132,1.65,54.39,22.29,2.43,0.0357,0.12,0.0242,0.0407,0.0096,0.0043,0.0086,0.0028,0.0041,0.0479,0.0109,0.0074,0.0031,0.0014,2
"56","céramique","BDX15470","2012-07-13","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15227","cup","rim",TRUE,3.24,15.55,5.39,1.014,2,51.62,20.66,3.32,0.0447,0.18,0.0239,0.0448,0.0111,0.0059,0.0075,0.003,0.0073,0.0517,0.0094,0.013,0.0032,0.0022,2
